"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/package.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/src/lib/lick-marketing-faq2.component.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 7, 32
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/src/lib/lick-marketing-faq2.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/src/lib/lick-marketing-faq2.component.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 9, 30
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/src/lib/lick-marketing-faq2.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/src/lib/lick-marketing-faq2.service.spec.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 4, 13
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/src/lib/lick-marketing-faq2.service.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 3, 10
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/src/public-api.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3, 2, 8
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/src/test.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 4, 4, 22
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/tsconfig.lib.json", "JSON", 22, 0, 0, 0, 0, 0, 4, 0, 26
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/tsconfig.lib.prod.json", "JSON", 9, 0, 0, 0, 0, 0, 1, 1, 11
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/tsconfig.spec.json", "JSON", 16, 0, 0, 0, 0, 0, 1, 1, 18
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq2/tslint.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 12, 25
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/karma.conf.js", "JavaScript", 0, 37, 0, 0, 0, 0, 6, 2, 45
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/ng-package.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/package.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/src/lib/lick-marketing-faq3.component.html", "HTML", 0, 0, 0, 0, 65, 0, 3, 9, 77
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/src/lib/lick-marketing-faq3.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/src/lib/lick-marketing-faq3.component.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 9, 29
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/src/lib/lick-marketing-faq3.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/src/lib/lick-marketing-faq3.service.spec.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 4, 13
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/src/lib/lick-marketing-faq3.service.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 3, 10
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/src/public-api.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 3, 2, 8
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/src/test.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 4, 4, 22
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/tsconfig.lib.json", "JSON", 22, 0, 0, 0, 0, 0, 4, 0, 26
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/tsconfig.lib.prod.json", "JSON", 9, 0, 0, 0, 0, 0, 1, 1, 11
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/tsconfig.spec.json", "JSON", 16, 0, 0, 0, 0, 0, 1, 1, 18
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-faq3/tslint.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features1/README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 12, 25
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features1/karma.conf.js", "JavaScript", 0, 37, 0, 0, 0, 0, 6, 2, 45
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features1/ng-package.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features1/package.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features1/src/lib/lick-marketing-features1.component.html", "HTML", 0, 0, 0, 0, 25, 0, 3, 6, 34
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features1/src/lib/lick-marketing-features1.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 6, 26
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features1/src/lib/lick-marketing-features1.component.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 9, 31
"/Users/tyshowers/Dropbox/angular/notch-app/projects/lick-marketing-features1/src/lib/lick-marketing-features1.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
